Dataset,ED,DTW,TSBF,LS,,
50words,0.369,0.242,0.209,0.2319,,
Adiac,0.389,0.391,0.245,0.4368,,
Beef,0.467,0.467,0.287,0.2400,,
CBF,0.148,0.004,0.009,0.0056,,
ChlorineConcentration,0.35,0.350,0.336,0.3486,,
CinC_ECG_torso,0.103,0.070,0.262,0.1670,,
Coffee,0.25,0.179,0.004,0.0000,,
Cricket_X,0.426,0.236,0.278,0.2092,,
Cricket_Y,0.356,0.197,0.259,0.2487,,
Cricket_Z,0.38,0.180,0.263,0.2005,,
DiatomSizeReduction,0.065,0.065,0.126,0.0333,,
ECG200,0.12,0.120,0.145,0.1260,,
ECGFiveDays,0.203,0.203,0.183,0.0000,,
FaceAll,0.286,0.192,0.234,0.2175,,
FaceFour,0.216,0.114,0.051,0.0478,,
FacesUCR,0.231,0.088,0.090,0.0587,,
Fish,0.217,0.160,0.080,0.0663,,
Gun_Point,0.087,0.087,0.011,0.0000,,
Haptics,0.63,0.588,0.488,0.5318,,
InlineSkate,0.658,0.613,0.603,0.5727,,
ItalyPowerDemand,0.045,0.045,0.096,0.0305,,
Lighting2,0.246,0.131,0.257,0.1770,,
Lighting7,0.425,0.288,0.262,0.1973,,
MALLAT,0.086,0.086,0.037,0.0457,,
MedicalImages,0.316,0.253,0.269,0.2705,,
MoteStrain,0.121,0.134,0.135,0.0871,,
OliveOil,0.133,0.167,0.090,0.5600,,
OSULeaf,0.483,0.384,0.329,0.1818,,
SonyAIBORobotSurface,0.305,0.305,0.175,0.1026,,
SonyAIBORobotSurfaceII,0.141,0.141,0.196,0.0816,,
SwedishLeaf,0.213,0.157,0.075,0.0870,,
Symbols,0.1,0.062,0.034,0.0356,,
synthetic_control,0.12,0.017,0.008,0.0073,,
Trace,0.24,0.010,0.020,0.0000,,
Two_Patterns,0.09,0.002,0.001,0.0030,,
TwoLeadECG,0.253,0.132,0.046,0.0026,,
uWaveGestureLibrary_X,0.261,0.227,0.164,0.2002,,
uWaveGestureLibrary_Y,0.338,0.301,0.249,0.2871,,
uWaveGestureLibrary_Z,0.35,0.322,0.217,0.2685,,
wafer,0.005,0.005,0.004,0.0038,,
WordsSynonyms,0.382,0.252,0.302,0.3398,,
yoga,0.170,0.155,0.149,0.1501,,
