Dataset,LogicalShapelet,FastShapelet,LogicalShapeletAcc,FastShapeletAcc
Adiac,0.414,0.514,0.586,0.486
Beef,0.433,0.447,0.567,0.553
CBF,0.114,0.053,0.886,0.947
ChlorineConcentration,0.382,0.417,0.619,0.583
CinC_ECG_torso,0.301,0.174,0.699,0.826
Coffee,0.036,0.068,0.964,0.932
Cricket,0.031,0.021,0.969,0.979
DiatomSizeReduction,0.199,0.117,0.801,0.883
ECG200,0.130,0.227,0.870,0.773
ECGFiveDays,0.006,0.004,0.994,0.996
FaceAll,0.341,0.411,0.659,0.589
FaceFour,0.511,0.090,0.489,0.910
FacesUCR,0.338,0.328,0.662,0.672
Fish,0.223,0.197,0.777,0.803
Gun_Point,0.107,0.061,0.893,0.939
ItalyPowerDemand,0.064,0.095,0.936,0.905
Lighting2,0.574,0.295,0.426,0.705
Lighting7,0.452,0.403,0.548,0.597
MALLAT,0.344,0.033,0.656,0.967
MedicalImages,0.413,0.433,0.587,0.567
MoteStrain,0.168,0.217,0.832,0.783
OliveOil,0.167,0.213,0.833,0.787
OSULeaf,0.314,0.359,0.686,0.641
SonyAIBORobotSurface,0.140,0.315,0.860,0.686
SonyAIBORobotSurfaceII,0.154,0.215,0.846,0.785
SwedishLeaf,0.187,0.269,0.813,0.731
Symbols,0.357,0.068,0.643,0.932
synthetic_control,0.530,0.081,0.470,0.919
Trace,0.000,0.002,1.000,0.998
Two_Patterns,0.461,0.114,0.539,0.887
TwoLeadECG,0.144,0.090,0.856,0.910
wafer,0.001,0.004,0.999,0.996
yoga,0.260,0.249,0.740,0.751
