,C,Classifier,Dataset,accuracy
0,,9kFeatures,50words,0.547
1,,9kFeatures,Adiac,0.645
2,,9kFeatures,Beef,0.567
3,,9kFeatures,CBF,0.7110000000000001
4,,9kFeatures,ChlorineConcentration,
5,,9kFeatures,CinC_ECG_torso,
6,,9kFeatures,Coffee,1.0
7,,9kFeatures,Cricket_X,
8,,9kFeatures,Cricket_Y,
9,,9kFeatures,Cricket_Z,
10,,9kFeatures,DiatomSizeReduction,
11,,9kFeatures,ECG200,0.99
12,,9kFeatures,ECGFiveDays,
13,,9kFeatures,FaceAll,0.708
14,,9kFeatures,FaceFour,0.739
15,,9kFeatures,FacesUCR,
16,,9kFeatures,Fish,0.829
17,,9kFeatures,Gun_Point,
18,,9kFeatures,Haptics,
19,,9kFeatures,InlineSkate,
20,,9kFeatures,ItalyPowerDemand,
21,,9kFeatures,Lightning2,0.803
22,,9kFeatures,Lightning7,0.562
23,,9kFeatures,MALLAT,
24,,9kFeatures,MedicalImages,
25,,9kFeatures,MoteStrain,
26,,9kFeatures,OSULeaf,0.835
27,,9kFeatures,OliveOil,0.9
28,,9kFeatures,SonyAIBORobotSurface,
29,,9kFeatures,SonyAIBORobotSurfaceII,
30,,9kFeatures,StarLightCurves,
31,,9kFeatures,SwedishLeaf,0.773
32,,9kFeatures,Symbols,
33,,9kFeatures,Trace,0.99
34,,9kFeatures,TwoLeadECG,
35,,9kFeatures,Two_Patterns,0.9259999999999999
36,,9kFeatures,WordsSynonyms,
37,,9kFeatures,synthetic_control,0.963
38,,9kFeatures,uWaveGestureLibrary_X,
39,,9kFeatures,uWaveGestureLibrary_Y,
40,,9kFeatures,uWaveGestureLibrary_Z,
41,,9kFeatures,wafer,1.0
42,,9kFeatures,yoga,0.774
43,,BOSS,50words,0.688
44,,BOSS,Adiac,0.78
45,,BOSS,Beef,0.8
46,,BOSS,CBF,1.0
47,,BOSS,ChlorineConcentration,0.66
48,,BOSS,CinC_ECG_torso,0.875
49,,BOSS,Coffee,1.0
50,,BOSS,Cricket_X,
51,,BOSS,Cricket_Y,
52,,BOSS,Cricket_Z,
53,,BOSS,DiatomSizeReduction,0.9540000000000001
54,,BOSS,ECG200,0.87
55,,BOSS,ECGFiveDays,1.0
56,,BOSS,FaceAll,0.79
57,,BOSS,FaceFour,1.0
58,,BOSS,FacesUCR,0.958
59,,BOSS,Fish,0.9890000000000001
60,,BOSS,Gun_Point,1.0
61,,BOSS,Haptics,0.46299999999999997
62,,BOSS,InlineSkate,0.495
63,,BOSS,ItalyPowerDemand,0.9470000000000001
64,,BOSS,Lightning2,0.852
65,,BOSS,Lightning7,0.6579999999999999
66,,BOSS,MALLAT,0.9420000000000001
67,,BOSS,MedicalImages,0.7120000000000001
68,,BOSS,MoteStrain,
69,,BOSS,OSULeaf,0.988
70,,BOSS,OliveOil,0.9
71,,BOSS,SonyAIBORobotSurface,0.679
72,,BOSS,SonyAIBORobotSurfaceII,0.902
73,,BOSS,StarLightCurves,0.9790000000000001
74,,BOSS,SwedishLeaf,0.9279999999999999
75,,BOSS,Symbols,0.968
76,,BOSS,Trace,1.0
77,,BOSS,TwoLeadECG,0.9840000000000001
78,,BOSS,Two_Patterns,0.996
79,,BOSS,WordsSynonyms,0.638
80,,BOSS,synthetic_control,0.97
81,,BOSS,uWaveGestureLibrary_X,
82,,BOSS,uWaveGestureLibrary_Y,
83,,BOSS,uWaveGestureLibrary_Z,
84,,BOSS,wafer,0.9990000000000001
85,,BOSS,yoga,0.919
86,,ED,50words,0.631
87,,ED,Adiac,0.611
88,,ED,Beef,0.5329999999999999
89,,ED,CBF,0.852
90,,ED,ChlorineConcentration,0.65
91,,ED,CinC_ECG_torso,0.897
92,,ED,Coffee,0.75
93,,ED,Cricket_X,0.5740000000000001
94,,ED,Cricket_Y,0.6439999999999999
95,,ED,Cricket_Z,0.62
96,,ED,DiatomSizeReduction,0.935
97,,ED,ECG200,0.88
98,,ED,ECGFiveDays,0.7969999999999999
99,,ED,FaceAll,0.714
100,,ED,FaceFour,0.784
101,,ED,FacesUCR,0.769
102,,ED,Fish,0.783
103,,ED,Gun_Point,0.913
104,,ED,Haptics,0.37
105,,ED,InlineSkate,0.3420000000000001
106,,ED,ItalyPowerDemand,0.955
107,,ED,Lightning2,0.754
108,,ED,Lightning7,0.575
109,,ED,MALLAT,0.914
110,,ED,MedicalImages,0.6839999999999999
111,,ED,MoteStrain,0.879
112,,ED,OSULeaf,0.517
113,,ED,OliveOil,0.867
114,,ED,SonyAIBORobotSurface,0.6950000000000001
115,,ED,SonyAIBORobotSurfaceII,0.859
116,,ED,StarLightCurves,
117,,ED,SwedishLeaf,0.787
118,,ED,Symbols,0.9
119,,ED,Trace,0.76
120,,ED,TwoLeadECG,0.747
121,,ED,Two_Patterns,0.91
122,,ED,WordsSynonyms,0.618
123,,ED,synthetic_control,0.88
124,,ED,uWaveGestureLibrary_X,0.739
125,,ED,uWaveGestureLibrary_Y,0.662
126,,ED,uWaveGestureLibrary_Z,0.65
127,,ED,wafer,0.995
128,,ED,yoga,0.83
129,,DTW,50words,0.758
130,,DTW,Adiac,0.609
131,,DTW,Beef,0.5329999999999999
132,,DTW,CBF,0.996
133,,DTW,ChlorineConcentration,0.65
134,,DTW,CinC_ECG_torso,0.9299999999999999
135,,DTW,Coffee,0.821
136,,DTW,Cricket_X,0.764
137,,DTW,Cricket_Y,0.803
138,,DTW,Cricket_Z,0.8200000000000001
139,,DTW,DiatomSizeReduction,0.935
140,,DTW,ECG200,0.88
141,,DTW,ECGFiveDays,0.7969999999999999
142,,DTW,FaceAll,0.808
143,,DTW,FaceFour,0.886
144,,DTW,FacesUCR,0.912
145,,DTW,Fish,0.84
146,,DTW,Gun_Point,0.913
147,,DTW,Haptics,0.41200000000000003
148,,DTW,InlineSkate,0.387
149,,DTW,ItalyPowerDemand,0.955
150,,DTW,Lightning2,0.869
151,,DTW,Lightning7,0.712
152,,DTW,MALLAT,0.914
153,,DTW,MedicalImages,0.747
154,,DTW,MoteStrain,0.866
155,,DTW,OSULeaf,0.616
156,,DTW,OliveOil,0.833
157,,DTW,SonyAIBORobotSurface,0.6950000000000001
158,,DTW,SonyAIBORobotSurfaceII,0.859
159,,DTW,StarLightCurves,
160,,DTW,SwedishLeaf,0.843
